Text,Category,subtags
"What will be the expenses other than fees, hostel rent & mess charges VIT Vellore?",Hostel,fess
"When do we have to pay the VIT hostel fee, and what is the admission process for freshers?",Hostel,fees
Hostel room allotment will be based on your NCGPA.,Hostel,cgpa
How are the hostel rooms in vit? ,Hostel,rooms
How is the hostel and student life in VIT vellore?,Hostel,life
How does a boy's hostel of VIT University Vellore look like?,Hostel,boys
Are smart phones allowed in VIT hostel room?,Hostel,phones
What-is-the-hostel-allotment-procedure-in-VIT-Vellore,Hostel,Allotment
How are the hostel rooms maintained at the VIT?,Hostel,maintainence
Which is the best suitable hostel block in VIT Vellore campus for 4-bedded non-AC rooms?,Hostel,blocks
How strict are the hostels in VIT?,hostel,rules
Do VIT hostels have a TV in each room?,hostel,utility
"How is academic in VIT, Vellore?",Academics,quality
What is your review of Vellore Institute of Technology?,Academics,compare
Is VIT University a good college? ,Academics,quality
"In terms of academics, how can you compare VIT University, Vellore and Amrita University, Chennai?",Academics,quality
Is Vellore Institute of Technology a good college? ,Academics,quality
What is it like to study at VIT (Vellore)?,Academics,quality
"What is the approx total fees for a B.Tech. from VIT University, Vellore?",Fees,B.tech
"What is the total 4 year fees (approx) of VIT for a student of rank under 5k, 10k and 15k?",Fees,
"What 
would be the total fees for VIT Vellore for 4 years in a B.Tech course? 
If I take an education loan, will the loan cover all the expenses?",Fees,
"What is the total fees for computer science in VIT, Vellore including Hostel fee?",Fees,
What is total fees for VIT (including hostel and tuition fees) for all branches?,Fees,
What are the fees for CS at the VIT Vellore campus?,Fees,
What is the fee structure for btech in VIT?,Fees,
VIT Fee Structure for Academic year 2017-2018,Fees,
VITEEE Fee Structure 2018,Fees,
"How is the academic load in VIT, Vellore?",Academics,Quality
hi,greetings,
hello,greetings,
Ciao,greetings,
bye,greetings,
"How is the placement in VIT, Vellore? What is the average package?",Placement,
How was your experience in placement season at VIT?,Placement,
How have VIT 2016 CSE placements been?,Placement,
What are some of the best placement stories/experiences of students of Vit Vellore?,Placement,
How was the placement scenario of CSE branch at VIT Vellore in 2016-2017 batch?,Placement,
How are placements in vit?,Placement,
What is the top placement in VIT Vellore till now?,Placement,
What are the CS placements like at VIT Vellore?,Placement,
What is the current status of placements in VIT for the 2018 graduating batch?,Placement,
How are the placements for IT branch at VIT Vellore?,Placement,
What are the detailed placement statistics for IT from VIT Vellore in recent years?,Placement,
How have VIT 2016 CSE placements been?,Placement,
What dream companies visited and how many got selected in them?,Placement,
How is VIT IT placements?,Placement,
How are placements for CSE and IT in VIT in 2014-15?,Placement,
What is the paper pattern of VITEEE 2017?,Exam,
What is the exam pattern of the VIT University?,Exam,
What is the exam pattern of VIT Vellore M.tech entrance?,Exam,
Can you me the paper pattern of VITEEE 2016?,Exam,
How do I score well in VITEEE?,Exam,
How is are the exams scheduled in VIT Vellore?,Exam,
What is the exam pattern of VIT Vellore M.tech entrance?,Exam,
What advice would you give to a fresher at VIT Vellore?,Exam,
What is the pattern of giving grades in VIT?,Exam,